"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"J971249-1",213,78.1977316191508,93.9765401097909,57.1355474198047,115.196827057183,85.9999999999999,76.3849372384937,86.1171548117154
"J980032-3",214,58.1977316191508,93.9765401097909,77.1355474198047,95.1968270571827,75.9999999999999,76.3849372384937,81.1171548117154
"J980032-5",215,58.1977316191508,113.976540109791,77.1355474198047,95.1968270571827,85.9999999999999,83.0516039051604,86.1171548117155
"J980042-1",216,18.1977316191508,93.9765401097909,97.1355474198047,55.1968270571827,56,69.7182705718271,66.1171548117154
"J980042-2",217,78.1977316191508,113.976540109791,77.1355474198047,55.1968270571827,95.9999999999999,89.7182705718271,81.1171548117155
"J980407-1",218,38.1977316191508,93.9765401097909,77.1355474198047,95.1968270571827,65.9999999999999,69.7182705718271,76.1171548117154
"J980408-2",219,58.1977316191508,93.9765401097909,77.1355474198047,35.1968270571827,75.9999999999999,76.3849372384937,66.1171548117154
"J980409-3",220,83.435826857246,95.1670163002671,97.1355474198047,35.1968270571827,89.125,91.8016039051604,77.6796548117155
"J980498-4",221,43.435826857246,55.1670163002671,77.1355474198047,15.1968270571827,49.125,58.4682705718271,47.6796548117155
"J981358-2",222,63.435826857246,75.1670163002671,77.1355474198047,95.1968270571827,69.125,71.8016039051604,77.6796548117155
"J98407-1",223,63.435826857246,75.1670163002671,97.1355474198047,95.1968270571827,69.125,78.468270571827,82.6796548117155
"J98408-2",224,63.435826857246,95.1670163002671,97.1355474198047,135.196827057183,79.125,85.1349372384937,97.6796548117155
"J98C0002",225,63.435826857246,95.1670163002671,37.1355474198047,95.1968270571827,79.125,65.1349372384937,72.6796548117155
"JSDM034",226,43.435826857246,95.1670163002671,57.1355474198047,35.1968270571827,69.125,65.1349372384937,57.6796548117155
"JSDM036",227,43.435826857246,75.1670163002671,77.1355474198047,55.1968270571827,59.125,65.1349372384937,62.6796548117155
"LAMBERTCF",228,78.6739220953413,93.7384448716957,37.9272140864714,19.280160390516,86.375,70.2193165969316,57.4552824267782
"LEWJAIN",229,103.435826857246,95.1670163002671,57.1355474198047,95.1968270571827,99.125,85.1349372384937,87.6796548117155
"MADSEN",230,51.4364555457955,84.133726528592,57.9272140864714,79.280160390516,67.7980769230769,67.4317759181776,67.850754632397
"MARY",231,38.6739220953413,113.738444871696,77.9272140864714,59.280160390516,76.375,76.8859832635983,72.4552824267783
"MASAMI",232,58.6739220953413,93.7384448716957,57.9272140864714,119.280160390516,76.375,70.2193165969317,82.4552824267782
